iata_code,airport_name,city,country_code,country_name,airport_type,coordinates
CIG,Craig Moffat Airport,Craig,US,United States,small_airport,"40.4952011108, -107.522003174"
CIK,Chalkyitsik Airport,Chalkyitsik,US,United States,small_airport,"66.644997, -143.740005"
CIL,Council Airport,Council,US,United States,small_airport,"64.89790344240001, -163.70300293"
CIN,Arthur N Neu Airport,Carroll,US,United States,small_airport,"42.0461997986, -94.78900146480001"
CIR,Cairo Regional Airport,Cairo,US,United States,small_airport,"37.064499, -89.219597"
CIU,Chippewa County International Airport,Kincheloe,US,United States,medium_airport,"46.247707, -84.471379"
CKA,Kegelman AF Aux Field,Cherokee,US,United States,small_airport,"36.734348, -98.123531"
CKB,North Central West Virginia Airport,Bridgeport,US,United States,medium_airport,"39.2966, -80.228104"
CKD,Crooked Creek Airport,Crooked Creek,US,United States,small_airport,"61.870315, -158.137636"
CKE,Lampson Field,Lakeport,US,United States,small_airport,"38.9906005859, -122.901000977"
CKK,Sharp County Regional Airport,Ash Flat,US,United States,small_airport,"36.26490021, -91.56259918"
CKM,Fletcher Field,Clarksdale,US,United States,small_airport,"34.2997016907, -90.512298584"
CKN,Crookston Municipal Kirkwood Field,Crookston,US,United States,small_airport,"47.8417015076, -96.62159729"
CKR,Crane Island Airstrip,Crane Island,US,United States,small_airport,"48.5978, -122.9979"
CKU,Cordova Municipal Airport,Cordova,US,United States,small_airport,"60.5438995361, -145.727005005"
CKV,Clarksville–Montgomery County Regional Airport,Clarksville,US,United States,small_airport,"36.6218986511, -87.4150009155"
CKX,Chicken Airport,Chicken,US,United States,small_airport,"64.066495, -141.951342"
CLD,McClellan-Palomar Airport,Carlsbad,US,United States,medium_airport,"33.1283, -117.279999"
CLE,Cleveland Hopkins International Airport,Cleveland,US,United States,large_airport,"41.411701, -81.8498"
CLG,New Coalinga Municipal Airport,Coalinga,US,United States,small_airport,"36.16310119628906, -120.29399871826172"
CLI,Clintonville Municipal Airport,Clintonville,US,United States,small_airport,"44.613800048799995, -88.731300354"
CLK,Clinton Regional Airport,Clinton,US,United States,small_airport,"35.5383, -98.932701"
CLL,Easterwood Field,College Station,US,United States,medium_airport,"30.5886, -96.3638"
